# of Units,Date,Description,Address,Location Type
1,8/1/18 7:55,"EMS call, excluding vehicle accident with injury",1111  Avalon AVE ,Vehicle parking area
1,8/1/18 9:46,"EMS call, excluding vehicle accident with injury",1740  Old Ranch Road 12  ,Multifamily dwellings
1,8/1/18 12:43,"EMS call, excluding vehicle accident with injury",213  Valero DR ,1 or 2 family dwelling
1,8/1/18 16:04,Public service,700 N Lbj DR ,Vehicle parking area
3,8/1/18 16:14,Off-road vehicle or heavy equipment fire,1400  Post RD ,Street or road in commercial area
6,8/1/18 19:16,"Outside rubbish, trash or waste fire",117  Salas DR ,1 or 2 family dwelling
1,8/1/18 21:41,"Medical assist, assist EMS crew",214  Ellis ST ,1 or 2 family dwelling
1,8/1/18 21:57,"EMS call, excluding vehicle accident with injury",2035  Lisa LN ,1 or 2 family dwelling
1,8/2/18 0:33,"EMS call, excluding vehicle accident with injury",503  Uhland RD ,1 or 2 family dwelling
3,8/2/18 1:18,"Brush, or brush and grass mixture fire",801 W MLK DR ,Open land or field
1,8/2/18 8:49,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
2,8/2/18 8:56,Motor vehicle accident with no injuries,204  SB  ,Highway or divided highway
3,8/2/18 13:46,"Natural vegetation fire, other",  Sh 123  N,Open land or field
1,8/2/18 14:07,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,8/2/18 15:19,Motor vehicle accident with no injuries,1000  Hwy 80  ,Highway or divided highway
1,8/2/18 16:59,"Medical assist, assist EMS crew",1340  Wonder World DR ,Vehicle parking area
0,8/3/18 1:27,"EMS call, excluding vehicle accident with injury",401 N Fredericksburg ST ,Multifamily dwellings
1,8/3/18 3:25,Smoke detector activation due to malfunction,150 S LBJ DR ,Bar or nightclub
1,8/3/18 4:15,Motor vehicle accident with no injuries,1000  Hwy 123  ,Street or road in commercial area
1,8/3/18 6:22,No incident found on arrival at dispatch address,301 N Guadalupe ST ,Restaurant or cafeteria
1,8/3/18 8:33,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,8/3/18 8:44,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
2,8/3/18 9:54,"Electrical  wiring/equipment problem, other",426  Linda DR ,Vehicle parking area
1,8/3/18 12:09,"Good intent call, other",1754  River RD ,Multifamily dwellings
2,8/3/18 13:38,Grass fire,  Centerpoint RD ,"Outside or special property, other"
2,8/3/18 14:16,"EMS call, excluding vehicle accident with injury",4205 S IH 35  ,"Food and beverage sales, grocery store"
1,8/3/18 15:17,Assist police or other governmental agency,1900  Uhland RD ,"Residential street, road or residential driveway"
2,8/3/18 17:01,Motor vehicle accident with no injuries,  Hwy 80  ,Highway or divided highway
1,8/3/18 17:17,"False alarm or false call, other",1305 S IH 35  ,"Food and beverage sales, grocery store"
1,8/3/18 17:46,Vehicle accident with injuries,  Hwy 123  ,Highway or divided highway
3,8/3/18 18:05,Passenger vehicle fire,201  NB  ,Highway or divided highway
1,8/3/18 18:43,"Medical assist, assist EMS crew",127 E Hopkins ST ,Bar or nightclub
1,8/3/18 20:21,Public service,1606 N IH 35  ,Multifamily dwellings
1,8/4/18 0:08,Assist police or other governmental agency,2913  Hunter RD ,Multifamily dwellings
1,8/4/18 2:47,Police matter,289  Silver Peak DR ,"Residential street, road or residential driveway"
1,8/4/18 10:22,"EMS call, excluding vehicle accident with injury",1350  Sadler DR ,Multifamily dwellings
2,8/4/18 13:21,Vehicle accident with injuries,205  SB  ,Highway or divided highway
1,8/4/18 16:04,"EMS call, excluding vehicle accident with injury",2005  Technology WAY ,"Manufacturing, processing"
1,8/4/18 17:44,"EMS call, excluding vehicle accident with injury",2250  Clovis Barker RD ,"Reformatory, juvenile detention center"
1,8/4/18 18:28,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,8/4/18 20:42,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
1,8/4/18 21:14,"EMS call, excluding vehicle accident with injury",1005 N IH 35  ,Swimming facility: indoor or outdoor
4,8/4/18 21:17,Motor vehicle accident with no injuries,  River RD ,"Residential street, road or residential driveway"
2,8/5/18 0:05,Vehicle accident with injuries,  Aquarena Springs DR ,Street or road in commercial area
0,8/5/18 1:08,"EMS call, excluding vehicle accident with injury",625  Commercial LP ,"Hotel/motel, commercial"
6,8/5/18 3:04,"Cooking fire, confined to container",435 N Comanche ST ,Multifamily dwellings
2,8/5/18 9:11,Vehicle accident with injuries,212 E Access RD ,Highway or divided highway
1,8/5/18 9:20,Public service,207  SB  ,Highway or divided highway
1,8/5/18 9:33,"EMS call, excluding vehicle accident with injury",122 S Bishop ST ,Open land or field
1,8/5/18 11:27,"EMS call, excluding vehicle accident with injury",405 E McCarty LN ,1 or 2 family dwelling
1,8/5/18 12:01,"EMS call, excluding vehicle accident with injury",1800  Post RD ,Vehicle parking area
1,8/5/18 13:11,"EMS call, excluding vehicle accident with injury",550  Barnes DR ,"Recreational, hobby, home repair sales, pet store"
1,8/5/18 13:13,Assist police or other governmental agency,435 N Comanche ST ,1 or 2 family dwelling
2,8/5/18 14:42,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
2,8/5/18 15:01,"Vehicle accident, general cleanup",1000  Wonder World DR ,Highway or divided highway
1,8/5/18 15:35,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,8/5/18 17:31,Vehicle accident with injuries,207  NB  ,Highway or divided highway
2,8/5/18 18:12,"Medical assist, assist EMS crew",343 N LBJ DR ,Restaurant or cafeteria
3,8/5/18 19:23,Police matter,202  SB  ,Highway or divided highway
1,8/5/18 22:31,Vehicle accident with injuries,213  Nb35 IH ,Highway or divided highway
1,8/5/18 23:05,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,8/5/18 23:43,Citizen complaint,317  Craddock AVE ,"Residential street, road or residential driveway"
2,8/6/18 1:10,Motor vehicle accident with no injuries,208  NB  ,Highway or divided highway
1,8/6/18 3:01,Vehicle accident with injuries,  Craddock AVE ,Highway or divided highway
1,8/6/18 8:03,"EMS call, excluding vehicle accident with injury",104  Chula Vista DR ,1 or 2 family dwelling
2,8/6/18 8:25,"EMS call, excluding vehicle accident with injury",711 S Stagecoach TRL ,Courthouse
1,8/6/18 13:44,"EMS call, excluding vehicle accident with injury",555  Cheatham ST ,"Lake, river, stream"
1,8/6/18 15:37,Power line down,2400  Missy LN ,"Residential street, road or residential driveway"
1,8/6/18 15:54,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,8/6/18 16:40,Gasoline or other flammable liquid spill,1200  Hwy 80  ,"Service station, gas station"
2,8/6/18 18:42,Motor vehicle accident with no injuries,  West AVE ,"Residential street, road or residential driveway"
1,8/6/18 22:07,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
1,8/7/18 1:38,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,Multifamily dwellings
1,8/7/18 1:57,"EMS call, excluding vehicle accident with injury",600  Leah AVE ,Multifamily dwellings
1,8/7/18 11:52,Vehicle accident with injuries,  River RD ,Highway or divided highway
0,8/7/18 12:12,"EMS call, excluding vehicle accident with injury",1901  Dutton DR ,Vehicle parking area
3,8/7/18 12:20,Assist police or other governmental agency,202  NB  ,Highway or divided highway
2,8/7/18 13:16,Dispatched & cancelled en route,210  Yarrington RD ,Highway or divided highway
0,8/7/18 14:20,"EMS call, excluding vehicle accident with injury",155  Wonder World DR ,Vehicle parking area
1,8/7/18 14:47,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,8/7/18 15:37,"Steam, other gas mistaken for smoke, other",1348  Hwy 123  ,"Doctor, dentist or oral surgeon's office"
4,8/7/18 16:32,Grass fire,  Birmensdorf DR N,Highway or divided highway
1,8/7/18 17:32,"Sprinkler activation, no fire - unintentional",935  Hwy 80  ,"Recreational, hobby, home repair sales, pet store"
1,8/7/18 18:51,Public service,  River Ridge PKWY ,"Residential street, road or residential driveway"
2,8/7/18 19:13,"Outside rubbish, trash or waste fire",801  River RD ,"Residential street, road or residential driveway"
1,8/7/18 19:37,"Alarm system sounded, no fire - unintentional",933  Hwy 80  ,"Recreational, hobby, home repair sales, pet store"
1,8/7/18 21:48,"Electrical  wiring/equipment problem, other",1229 N LBJ DR ,Multifamily dwellings
1,8/7/18 22:26,Motor vehicle accident with no injuries,  Ed J L Green ST ,Street or road in commercial area
1,8/7/18 23:03,Motor vehicle accident with no injuries, E San Antonio ST ,Street or road in commercial area
1,8/8/18 0:51,"EMS call, excluding vehicle accident with injury",1740  Old Ranch Road 12  ,Multifamily dwellings
1,8/8/18 1:31,"EMS call, excluding vehicle accident with injury",1264  Hilltop DR ,1 or 2 family dwelling
1,8/8/18 6:49,"EMS call, excluding vehicle accident with injury",130 W Holland ST ,Preschool
1,8/8/18 8:32,"EMS call, excluding vehicle accident with injury",1001  Crepe Myrtle DR ,"24-hour care Nursing homes, 4 or more persons"
3,8/8/18 9:31,"Unintentional transmission of alarm, other",210 N Edward Gary ST ,Multifamily dwellings
2,8/8/18 10:03,Passenger vehicle fire, E Access RD ,Highway or divided highway
1,8/8/18 13:10,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,8/8/18 13:32,"EMS call, excluding vehicle accident with injury",518  Linda DR ,Multifamily dwellings
1,8/8/18 16:00,"EMS call, excluding vehicle accident with injury",170  Charles Austin DR ,"Lake, river, stream"
2,8/8/18 16:11,Motor vehicle accident with no injuries,  Hwy 123  ,Highway or divided highway
1,8/8/18 16:22,"EMS call, excluding vehicle accident with injury", E Hopkins ST ,"Lake, river, stream"
1,8/8/18 17:08,"EMS call, excluding vehicle accident with injury",1640  Aquarena Springs DR ,Multifamily dwellings
1,8/8/18 17:35,Gas leak (natural gas or LPG),4400  Hwy 123  ,Vacant lot
1,8/8/18 17:36,"Smoke detector activation, no fire - unintentional",150  Gambel Oak WAY ,1 or 2 family dwelling
1,8/8/18 17:37,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,8/8/18 20:54,"EMS call, excluding vehicle accident with injury",3633  Cinkapin DR ,1 or 2 family dwelling
2,8/9/18 0:26,Motor vehicle accident with no injuries,208  SB  ,Highway or divided highway
1,8/9/18 3:09,"Medical assist, assist EMS crew",111 E Hopkins ST ,Restaurant or cafeteria
1,8/9/18 8:03,"EMS call, excluding vehicle accident with injury",608  Bracewood CIR ,Multifamily dwellings
2,8/9/18 10:45,Motor vehicle accident with no injuries,600  River RD ,"Residential street, road or residential driveway"
2,8/9/18 11:08,"EMS call, party transported by non-fire agency",1109  San Marcos PKWY ,Multifamily dwellings
2,8/9/18 12:00,Motor vehicle accident with no injuries,1000  Hwy 123  ,Highway or divided highway
1,8/9/18 12:14,"Smoke detector activation, no fire - unintentional",211  Orchard ST ,1 or 2 family dwelling
0,8/9/18 12:38,"EMS call, excluding vehicle accident with injury",314  Riverside DR ,1 or 2 family dwelling
1,8/9/18 13:57,"EMS call, excluding vehicle accident with injury",1904  Old Ranch Road 12  ,Highway or divided highway
1,8/9/18 16:04,Motor vehicle accident with no injuries,100 S Edward Gary ST ,Street or road in commercial area
1,8/9/18 16:09,"EMS call, excluding vehicle accident with injury",500  Patton ST ,"Residential street, road or residential driveway"
1,8/9/18 16:18,"Service Call, other",100  Laredo ST ,1 or 2 family dwelling
1,8/9/18 18:58,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Department or discount store
1,8/9/18 21:19,"Medical assist, assist EMS crew",1606 N IH 35  ,Multifamily dwellings
1,8/9/18 22:26,"EMS call, excluding vehicle accident with injury",1013  Cheatham ST ,1 or 2 family dwelling
1,8/9/18 23:39,"Medical assist, assist EMS crew",1321 N IH 35  ,"Hotel/motel, commercial"
1,8/10/18 11:01,Public service,1501  Aquarena Springs DR ,Vehicle parking area
2,8/10/18 16:08,Vehicle accident with injuries,202  NB  ,Highway or divided highway
1,8/10/18 16:38,"EMS call, excluding vehicle accident with injury",1404  Clarewood DR ,Restaurant or cafeteria
2,8/10/18 16:43,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
3,8/10/18 17:20,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
1,8/10/18 17:57,Public service,503  Springtown WAY ,Multifamily dwellings
2,8/10/18 20:05,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
1,8/10/18 21:41,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
1,8/10/18 23:42,Motor vehicle accident with no injuries,  Uhland RD ,Street or road in commercial area
2,8/10/18 23:50,Alarm system sounded due to malfunction,1951  Aquarena Springs DR ,Multifamily dwellings
1,8/11/18 0:29,"EMS call, excluding vehicle accident with injury",1409  Meadow PKWY ,1 or 2 family dwelling
3,8/11/18 1:12,Passenger vehicle fire,2011  Clovis Barker RD ,"Professional supplies, services"
1,8/11/18 2:10,Vehicle accident with injuries,2301  Hunter RD ,Street or road in commercial area
1,8/11/18 9:52,"Good intent call, other",712  Mountain View DR ,1 or 2 family dwelling
2,8/11/18 10:48,Search for person on land,100  Inwood DR ,Open land or field
1,8/11/18 13:06,Motor vehicle accident with no injuries, W MLK DR ,Street or road in commercial area
1,8/11/18 13:12,"Good intent call, other",323 W Hutchison ST ,Multifamily dwellings
1,8/11/18 13:58,"EMS call, excluding vehicle accident with injury",2534  Missum PT ,1 or 2 family dwelling
0,8/11/18 14:07,"EMS call, excluding vehicle accident with injury",3939 S IH 35  ,"Textile, wearing apparel sales"
2,8/11/18 15:36,Dispatched & cancelled en route,200  NB  ,Highway or divided highway
3,8/11/18 15:42,Public service,204  NB  ,Highway or divided highway
2,8/11/18 16:16,Dispatched & cancelled en route,209  NB  ,Highway or divided highway
0,8/11/18 16:24,"EMS call, excluding vehicle accident with injury",3939 S IH 35  ,Restaurant or cafeteria
1,8/11/18 16:30,"Medical assist, assist EMS crew",555  Cheatham ST ,"Lake, river, stream"
1,8/11/18 16:55,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,8/11/18 18:48,"EMS call, excluding vehicle accident with injury",217 E Hopkins ST ,Restaurant or cafeteria
1,8/11/18 22:14,"EMS call, excluding vehicle accident with injury",809  Barbara DR ,1 or 2 family dwelling
1,8/12/18 0:22,"Medical assist, assist EMS crew",1001 E McCarty LN ,"Hotel/motel, commercial"
1,8/12/18 3:53,"Smoke detector activation, no fire - unintentional",2600  Hunter RD ,Multifamily dwellings
1,8/12/18 10:47,Vehicle accident with injuries, E Hopkins ST ,Street or road in commercial area
2,8/12/18 12:13,"EMS call, excluding vehicle accident with injury",345  Champions BLVD ,Clubhouse
0,8/12/18 12:26,"EMS call, excluding vehicle accident with injury",4015 S IH 35  ,"Textile, wearing apparel sales"
1,8/12/18 15:30,Vehicle accident with injuries,200 W Access RD ,Street or road in commercial area
1,8/12/18 16:31,"EMS call, excluding vehicle accident with injury",1433 N IH 35  ,"Hotel/motel, commercial"
1,8/12/18 17:54,"EMS call, excluding vehicle accident with injury",129 E Hopkins ST ,Bar or nightclub
1,8/12/18 18:03,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,8/12/18 18:17,"Unintentional transmission of alarm, other",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,8/12/18 20:37,"EMS call, excluding vehicle accident with injury",555  Cheatham ST ,Vehicle parking area
1,8/12/18 22:11,"EMS call, excluding vehicle accident with injury",2913  Hunter RD ,Multifamily dwellings
2,8/13/18 7:48,Alarm system sounded due to malfunction,900  Barnes DR ,"Hotel/motel, commercial"
2,8/13/18 9:47,Smoke detector activation due to malfunction,422 W Hutchison ST ,1 or 2 family dwelling
3,8/13/18 13:59,Smoke detector activation due to malfunction,2100  Airport DR ,"Public or government, other"
2,8/13/18 16:23,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
1,8/13/18 18:07,Vehicle accident with injuries,700 N LBJ DR ,Street or road in commercial area
0,8/13/18 18:34,"EMS call, excluding vehicle accident with injury",1001  Crepe Myrtle DR ,"24-hour care Nursing homes, 4 or more persons"
0,8/13/18 18:41,"EMS call, excluding vehicle accident with injury",1400  Hwy 123  ,"Doctor, dentist or oral surgeon's office"
0,8/13/18 19:48,"EMS call, excluding vehicle accident with injury",1348  Thorpe LN ,Multifamily dwellings
0,8/14/18 2:25,"EMS call, excluding vehicle accident with injury",1624  Aquarena Springs DR ,Multifamily dwellings
1,8/14/18 6:41,Alarm system sounded due to malfunction,1951  Aquarena Springs DR ,Multifamily dwellings
1,8/14/18 7:38,"EMS call, excluding vehicle accident with injury",1600  Clovis Barker RD ,Vehicle parking area
2,8/14/18 11:58,Motor vehicle accident with no injuries,2200 S IH 35  ,"Street, other"
1,8/14/18 12:44,Dispatched & cancelled en route,1104  Thorpe LN ,Bank
1,8/14/18 12:59,"EMS call, excluding vehicle accident with injury",177  North Fork RD ,1 or 2 family dwelling
1,8/14/18 14:26,"EMS call, excluding vehicle accident with injury",555  Cheatham ST ,"Lake, river, stream"
1,8/14/18 15:55,"EMS call, excluding vehicle accident with injury",1201  Thorpe LN ,Multifamily dwellings
2,8/14/18 16:11,"Alarm system sounded, no fire - unintentional",1506 S IH 35  ,Business office
2,8/14/18 18:15,"Alarm system sounded, no fire - unintentional",917 N IH 35  ,"Hotel/motel, commercial"
1,8/14/18 19:16,Lock-out,601 S C M Allen PKWY ,"Residential street, road or residential driveway"
1,8/15/18 1:25,Motor vehicle accident with no injuries,  Mosscliff CIR ,Street or road in commercial area
1,8/15/18 2:21,Motor vehicle/pedestrian accident (MV Ped),200 W Hutchison ST ,"Residential street, road or residential driveway"
1,8/15/18 10:16,"Medical assist, assist EMS crew",221  Newberry TRL ,1 or 2 family dwelling
1,8/15/18 12:02,"Electrical  wiring/equipment problem, other",1400  Davis LN ,"Street, other"
2,8/15/18 12:30,Motor vehicle accident with no injuries,100 N Guadalupe ST ,Street or road in commercial area
1,8/15/18 15:18,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,8/15/18 15:30,"EMS call, excluding vehicle accident with injury",2917  Hunter RD ,1 or 2 family dwelling
1,8/15/18 16:03,"EMS call, excluding vehicle accident with injury",1121 N IH 35  ,"Mercantile, business, other"
1,8/15/18 18:11,"EMS call, excluding vehicle accident with injury",4206 S Ih 35  ,"Food and beverage sales, grocery store"
5,8/15/18 18:25,Vehicle accident with injuries,  Hwy 21  ,Highway or divided highway
2,8/15/18 19:13,Vehicle accident with injuries,  Hilltop DR ,Highway or divided highway
2,8/15/18 21:11,"EMS call, excluding vehicle accident with injury",404  Candlelight LN ,1 or 2 family dwelling
1,8/15/18 21:23,Gas leak (natural gas or LPG),1804  Ramona CIR ,1 or 2 family dwelling
1,8/15/18 23:18,"EMS call, excluding vehicle accident with injury",930  Luciano Flores BLVD ,Post office or mailing firms
1,8/15/18 23:46,"EMS call, excluding vehicle accident with injury",124  Crest DR ,Multifamily dwellings
1,8/16/18 6:47,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
2,8/16/18 8:10,"Medical assist, assist EMS crew",600  Leah AVE ,Multifamily dwellings
1,8/16/18 15:57,"EMS call, excluding vehicle accident with injury",518  Linda DR ,Multifamily dwellings
1,8/16/18 18:30,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,8/16/18 19:55,"EMS call, excluding vehicle accident with injury",201  Short ST ,Vehicle parking area
1,8/17/18 1:59,Motor vehicle accident with no injuries,1103  San Marcos PKWY ,Multifamily dwellings
3,8/17/18 5:42,Road freight or transport vehicle fire,600  Staples RD ,Construction site
3,8/17/18 8:28,Gas leak (natural gas or LPG),2550  Hunter RD ,"Clinics, Doctors offices, hemodialysis centers"
1,8/17/18 9:29,"EMS call, excluding vehicle accident with injury",1811  Medical PKWY ,Multifamily dwellings
1,8/17/18 12:24,"EMS call, excluding vehicle accident with injury",1001  Old Ranch Road 12  ,"Outside or special property, other"
1,8/17/18 12:55,Motor vehicle accident with no injuries,  Dutton DR ,"Street, other"
2,8/17/18 15:09,Motor vehicle accident with no injuries,  Hwy 123  ,Highway or divided highway
2,8/17/18 16:57,Motor vehicle accident with no injuries,3900 S IH 35  ,"Street, other"
1,8/17/18 17:25,"Alarm system sounded, no fire - unintentional",1600 N IH 35  ,Multifamily dwellings
1,8/17/18 18:08,Public service,711  Georgia ST ,1 or 2 family dwelling
1,8/17/18 19:19,"Medical assist, assist EMS crew",2600  Hunter RD ,Multifamily dwellings
1,8/17/18 19:28,"EMS call, excluding vehicle accident with injury",1348  Thorpe LN ,Multifamily dwellings
2,8/17/18 20:37,Motor vehicle accident with no injuries,202  SB  ,Highway or divided highway
3,8/17/18 21:11,Motor vehicle accident with no injuries,  Wonder World DR ,Street or road in commercial area
1,8/17/18 22:01,Public service,300 S Stagecoach TRL ,Vehicle parking area
2,8/18/18 4:43,Motor vehicle accident with no injuries,208  NB  ,Highway or divided highway
2,8/18/18 4:52,Motor vehicle accident with no injuries,200  SB  ,Highway or divided highway
1,8/18/18 6:17,"Medical assist, assist EMS crew",503  Springtown WAY ,1 or 2 family dwelling
1,8/18/18 7:49,"Accident, potential accident, other",1110  Invasion ST ,"Residential street, road or residential driveway"
2,8/18/18 11:15,Motor vehicle accident with no injuries,1200 S IH 35 RD ,Street or road in commercial area
2,8/18/18 11:40,Motor vehicle accident with no injuries,202  NB  ,Highway or divided highway
1,8/18/18 12:09,"EMS call, excluding vehicle accident with injury",1975  Aquarena Springs DR ,"Residential street, road or residential driveway"
2,8/18/18 12:29,No incident found on arrival at dispatch address,201  SB  ,Highway or divided highway
1,8/18/18 13:43,"EMS call, excluding vehicle accident with injury",329  Sherbarb ST ,1 or 2 family dwelling
2,8/18/18 13:46,"Sprinkler activation, no fire - unintentional",2809 S IH 35  ,Warehouse
1,8/18/18 13:53,Hazmat release investigation w/ no hazmat,2007  Castle Creek DR ,1 or 2 family dwelling
1,8/18/18 15:13,"Cover assignment, standby, moveup",210 W Moore ST ,Fire station
1,8/18/18 17:47,"EMS call, excluding vehicle accident with injury",641 E Hopkins ST ,"Food and beverage sales, grocery store"
0,8/18/18 20:41,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,8/18/18 21:37,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,8/18/18 21:49,"Medical assist, assist EMS crew",316  Linda DR ,1 or 2 family dwelling
1,8/18/18 23:12,"EMS call, excluding vehicle accident with injury",1001 E McCarty LN ,"Hotel/motel, commercial"
1,8/19/18 0:55,Motor vehicle accident with no injuries,116  Linda DR ,"Residential street, road or residential driveway"
1,8/19/18 1:13,"EMS call, excluding vehicle accident with injury",900  Peques ST ,Multifamily dwellings
1,8/19/18 1:14,"EMS call, excluding vehicle accident with injury",1415  Craddock AVE ,Multifamily dwellings
1,8/19/18 1:48,"Smoke detector activation, no fire - unintentional",1354  Thorpe LN ,Clubhouse
0,8/19/18 2:37,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,8/19/18 7:23,"Medical assist, assist EMS crew",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
2,8/19/18 9:21,Dispatched & cancelled en route,200  SB  ,Highway or divided highway
1,8/19/18 11:19,"Medical assist, assist EMS crew",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,8/19/18 16:04,"EMS call, excluding vehicle accident with injury",2617  Deer Stand LP ,1 or 2 family dwelling
1,8/19/18 16:10,"EMS call, excluding vehicle accident with injury",1314  Academy ST ,"Public or government, other"
2,8/19/18 17:30,Public service,205  SB  ,Highway or divided highway
2,8/19/18 18:14,Assist police or other governmental agency,206  NB  ,Highway or divided highway
2,8/19/18 18:39,Motor vehicle accident with no injuries,202  NB  ,Highway or divided highway
3,8/19/18 18:57,Motor vehicle accident with no injuries,200  NB  ,Highway or divided highway
1,8/19/18 19:32,Vehicle accident with injuries,  Aquarena Springs DR ,Street or road in commercial area
1,8/19/18 21:04,"Medical assist, assist EMS crew",325 E Hopkins ST ,Vehicle parking area
1,8/19/18 21:27,"EMS call, excluding vehicle accident with injury",462  Bridlewood DR ,1 or 2 family dwelling
0,8/19/18 23:05,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,8/19/18 23:51,Motor vehicle accident with no injuries,2000  Hwy 21  ,Highway or divided highway
2,8/20/18 0:12,Motor vehicle accident with no injuries, E Access RD ,Highway or divided highway
1,8/20/18 2:24,"EMS call, excluding vehicle accident with injury",1422  River RD ,1 or 2 family dwelling
1,8/20/18 7:44,Public service,2600  Hunter RD ,Multifamily dwellings
1,8/20/18 10:01,Gas leak (natural gas or LPG),2301  Hunter RD ,"Manufacturing, processing"
1,8/20/18 11:32,"EMS call, excluding vehicle accident with injury",518  Linda DR ,Multifamily dwellings
1,8/20/18 12:14,Vehicle accident with injuries, W Hutchison ST ,"Residential street, road or residential driveway"
3,8/20/18 12:28,"Brush, or brush and grass mixture fire",1151  Jones RD ,Open land or field
1,8/20/18 12:38,"Lock-in (if lock out , use 511 )",4015 S IH 35  ,Vehicle parking area
1,8/20/18 13:59,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
2,8/20/18 16:57,"False alarm or false call, other",3939 S IH 35  ,"General retail, other"
2,8/20/18 18:22,"EMS call, excluding vehicle accident with injury",401  Carlson CIR ,Business office
1,8/20/18 19:32,"EMS call, excluding vehicle accident with injury",650  River RD ,Multifamily dwellings
1,8/20/18 20:42,"EMS call, excluding vehicle accident with injury",21  Timbercrest  ,1 or 2 family dwelling
0,8/20/18 21:21,"EMS call, excluding vehicle accident with injury",1980  Aquarena Springs DR ,Clubhouse
1,8/20/18 21:29,"EMS call, excluding vehicle accident with injury",555  Cheatham ST ,Vehicle parking area
1,8/20/18 23:06,"EMS call, excluding vehicle accident with injury",112  West AVE ,Multifamily dwellings
1,8/21/18 7:13,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,8/21/18 7:41,"Smoke detector activation, no fire - unintentional",2601  Rattler RD ,High school/junior high school/middle school
9,8/21/18 10:39,"Cooking fire, confined to container",1011  Wonder World DR ,Multifamily dwellings
1,8/21/18 10:57,"Medical assist, assist EMS crew",1202  Thorpe LN ,Multifamily dwellings
1,8/21/18 11:08,Gas leak (natural gas or LPG),228  Jumping Laurel ST ,"Residential street, road or residential driveway"
1,8/21/18 11:46,Motor vehicle accident with no injuries,  Aquarena Springs DR ,Street or road in commercial area
1,8/21/18 12:23,Motor vehicle accident with no injuries, W Access RD ,Highway or divided highway
1,8/21/18 12:41,Motor vehicle accident with no injuries, N Edward Gary ST ,Street or road in commercial area
1,8/21/18 14:00,"Medical assist, assist EMS crew",812 S Guadalupe ST ,Restaurant or cafeteria
1,8/21/18 14:29,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
1,8/21/18 15:19,"Good intent call, other",  Aquarena Springs DR ,Street or road in commercial area
1,8/21/18 16:21,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
3,8/21/18 16:33,Motor vehicle accident with no injuries, E McCarty LN ,Street or road in commercial area
